Title,Rating,Price,Link,Specifications
,,
TOSHIBA U50 Series 139 cm (55 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,4.3,"Rs. 39,990",https://rukminim1.flixcart.com/image/312/312/kex5ci80/television/2/f/s/toshiba-50u5050-original-imafvhn4ybagp54e.jpeg?q=70,Netflix|Prime Video|Youtube
,,,,Operating System: VIDAA
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,30 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,Yupp TV
,,,,1 Year Warranty
,,
Title,Rating,Price,Link,Specifications
Thomson R9 60 cm (24 inch) HD Ready LED TV,4.2,"Rs. 9,999",https://rukminim1.flixcart.com/image/312/312/kikluvk0/television/h/8/t/thomson-24tm2490-original-imafybphgnhfwuvp.jpeg?q=70,HD Ready 1366 x 768 Pixels
,,,,20 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,2 x HDMI | 2 x USB
,,,,Zero Dot A+ Panel
,,,,1 Year Warranty on Product & 6 Months on Accessories
,,
"Hisense A73F Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with 102 W JBL Speakers, Dolby...",4.6,"Rs. 44,999",https://rukminim1.flixcart.com/image/312/312/krwec280/television/l/x/f/50a73f-50a73f-hisense-original-imag5kxy4zm323p6.jpeg?q=70,Netflix|Disney+Hotstar|Youtube
,,,,Operating System: Android
,,,,Ultra HD (4K) 3840 x 2160 Pixels
,,,,102 W Speaker Output
,,,,60 Hz Refresh Rate
,,,,3 x HDMI | 2 x USB
,,,,A+ Grade
,,,,1 Year Warranty
,,
