,Title,Rating,Price,link,Company,Condensor Coil,Wi-Fi,Noise_Level,Power_Consumption,TON_value,split
62,CARRIER 1.5 Ton 3 Star Split AC  - White,4.3,32490.0,https://rukminim1.flixcart.com/image/312/312/kqqykcw0/air-conditioner-new/0/y/z/18k-3-star-ester-pro-r32-split-ac-split-fixed-speed-carrier-original-imag4zmgcw2eng9r.jpeg?q=70,CARRIER, Copper, No,38.0,1458.0,1.0,1
63,"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Brown",4.2,32990.0,https://rukminim1.flixcart.com/image/312/312/kg40k280/air-conditioner-new/g/v/v/ar18ty3qbbr-1-5-split-samsung-inverter-original-imafwefyybhvyxh7.jpeg?q=70,SAMSUNG, Copper, No,52.0,1748.0,1.0,1
64,"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Pastel Blue",4.2,32990.0,https://rukminim1.flixcart.com/image/312/312/kg40k280/air-conditioner-new/s/r/z/ar18ty3qbpu-1-5-split-samsung-inverter-original-imafwefyqbfqnjjy.jpeg?q=70,SAMSUNG, Copper, No,52.0,1748.0,1.0,1
65,LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,4.3,46999.0,https://rukminim1.flixcart.com/image/312/312/k7f34i80/air-conditioner-new/n/g/g/ls-q18fnzd-1-5-split-dual-inverter-lg-original-imafpnnxpmvme7kn.jpeg?q=70,LG, Copper, No,31.0,835.0,1.0,1
66,Whirlpool 1 Ton 3 Star Split Inverter AC  - White,4.2,26990.0,https://rukminim1.flixcart.com/image/312/312/kksmikw0/air-conditioner-new/0/m/e/1-5t-magicool-pro-5s-copr-inv-split-inverter-whirlpool-original-imagy25utwj6jgg7.jpeg?q=70,Whirlpool, Copper, No,42.0,1075.0,1.0,1
67,Midea 1 Ton 3 Star Split AC  - White,4.3,23990.0,https://rukminim1.flixcart.com/image/312/312/kg5fzww0/air-conditioner-new/z/u/c/12k-3-star-santis-pro-cls-r32-split-ac-1-split-midea-fixed-speed-original-imafwggaycx48mzs.jpeg?q=70,Midea, Copper, No,39.0,980.0,1.0,1
68,Hitachi 1 Ton 3 Star Window AC  - White,4.2,24395.0,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/air-conditioner-new/t/e/e/1-0tr-new-kaze-plus-3-star-r32-raw312hedo-window-hitachi-fixed-original-imagfy3ch9tdahuu.jpeg?q=70,Hitachi, Copper, No,39.0,921.0,1.0,0
69,Daikin 1 Ton 3 Star Split AC with PM 2.5 Filter  - White,4.2,30364.0,https://rukminim1.flixcart.com/image/312/312/kfsl18w0/air-conditioner-new/x/k/3/ftl25tv16x1-mps-0-75-split-daikin-fixed-speed-original-imafw5v5ytugheg5.jpeg?q=70,Daikin, Copper, No,50.0,921.0,1.0,1
70,Daikin 1 Ton 3 Star Split AC with PM 2.5 Filter  - White,4.2,30364.0,https://rukminim1.flixcart.com/image/312/312/kfsl18w0/air-conditioner-new/x/k/3/ftl25tv16x1-mps-0-75-split-daikin-fixed-speed-original-imafw5v5ytugheg5.jpeg?q=70,Daikin, Copper, No,51.0,1520.0,1.0,1
71,ONIDA 1 Ton 3 Star Split Inverter AC  - White,4.3,25490.0,https://rukminim1.flixcart.com/image/312/312/k547l3k0/air-conditioner-new/z/f/q/ir123rho-1-split-inverter-onida-original-imafnphfzrvbhpym.jpeg?q=70,ONIDA, Copper, No,60.0,1520.0,1.0,1
72,Midea 1.5 Ton 5 Star Split Inverter AC  - White,4.3,35990.0,https://rukminim1.flixcart.com/image/312/312/kg5fzww0/air-conditioner-new/h/b/u/18k-5-star-santis-pro-ryl-inverter-r32-mi005-18k-5-star-inverter-original-imafwggatnpgv9gc.jpeg?q=70,Midea, Copper, No,45.0,1490.0,1.0,1
73,Daikin 1.5 Ton 3 Star Window AC  - White,4.2,28399.0,https://rukminim1.flixcart.com/image/312/312/k7xnukw0/air-conditioner-new/8/c/g/frwf35tv162-1-window-fixed-speed-daikin-original-imafq27azq2twweg.jpeg?q=70,Daikin, Copper, No,42.0,1490.0,1.0,0
74,Daikin 1.5 Ton 3 Star Window AC  - White,4.2,28399.0,https://rukminim1.flixcart.com/image/312/312/k7xnukw0/air-conditioner-new/8/c/g/frwf35tv162-1-window-fixed-speed-daikin-original-imafq27azq2twweg.jpeg?q=70,Daikin, Copper, No,50.0,1265.0,1.0,0
75,Daikin 0.75 Ton 3 Star Split AC with PM 2.5 Filter  - White,4.3,23900.0,https://rukminim1.flixcart.com/image/312/312/kfsl18w0/air-conditioner-new/x/k/3/ftl25tv16x1-mps-0-75-split-daikin-fixed-speed-original-imafw5v5ytugheg5.jpeg?q=70,Daikin, Copper, No,44.0,634.0,0.0,1
76,Daikin 1.5 Ton 3 Star Hot and Cold Split Inverter AC  - White,4.4,43469.0,https://rukminim1.flixcart.com/image/312/312/k0r15e80/air-conditioner-new/k/t/z/ftht50tv16u-1-5-split-inverter-daikin-original-imafkhggd7rrxddc.jpeg?q=70,Daikin, Copper, No,38.0,999.0,1.0,1
77,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,4.1,39800.0,https://rukminim1.flixcart.com/image/312/312/kc54ivk0/air-conditioner-new/6/p/x/ftkm50tv16vc-1-5-split-daikin-inverter-original-imaftcaaghcsyenn.jpeg?q=70,Daikin, Copper, No,45.0,1650.0,1.0,1
78,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,35490.0,https://rukminim1.flixcart.com/image/312/312/kl421e80/air-conditioner-new/o/5/u/ar18ty5qawknna-split-samsung-inverter-original-imagyb23g9erhyzk.jpeg?q=70,SAMSUNG, Copper, No,52.0,1465.0,1.0,1
79,Voltas 2 Ton 3 Star Split AC  - White,4.2,41990.0,https://rukminim1.flixcart.com/image/312/312/km57hjk0/air-conditioner-new/y/n/w/243czz-split-voltas-inverter-original-imagf42szhyumbew.jpeg?q=70,Voltas, Copper, No,44.0,1937.0,2.0,1
80,CARRIER 4 in 1 Convertible Cooling 2 Ton 5 Star Split Inverter AC  - White,4.3,51490.0,https://rukminim1.flixcart.com/image/312/312/klfhk7k0/air-conditioner-new/d/g/v/24k-5-star-ester-nxi-hybridjet-inverter-r32-split-ac-split-original-imagyk2qfgwrxxtx.jpeg?q=70,CARRIER, Copper, No,38.0,1780.0,4.0,1
81,Panasonic 1.5 Ton 3 Star Split Inverter Smart AC with PM 2.5 Filter with Wi-fi Connect  - White,4.3,35990.0,https://rukminim1.flixcart.com/image/312/312/knhsgi80/air-conditioner-new/j/q/d/cs-cu-su18wkytw-r32-cs-cu-su18wkytw-split-panasonic-inverter-original-imag26fwrvjm9qme.jpeg?q=70,Panasonic, Copper, Yes,43.0,1056.0,1.0,1
